%time,field.header.seq,field.header.stamp,field.time_stamp,field.left_encoder,field.right_encoder,field.left_pwm,field.right_pwm
1.52847307996011E+018,4222,1.52847307995971E+018,44652,62535,61711,14,-14
1.52847308002014E+018,4223,1.52847308001981E+018,44712,62543,61698,14,-14
1.52847308008011E+018,4224,1.52847308007973E+018,44772,62553,61685,14,-14
1.52847308013907E+018,4225,1.52847308013869E+018,44832,62562,61672,14,-14
1.52847308016027E+018,4226,1.52847308015986E+018,44852,62566,61668,13,-14
1.52847308022E+018,4227,1.5284730802196E+018,44912,62579,61657,12,-16
1.52847308027913E+018,4228,1.52847308027872E+018,44972,62589,61646,14,-16
1.52847308033703E+018,4229,1.52847308033663E+018,45032,62600,61634,13,-15
1.52847308035892E+018,4230,1.52847308035855E+018,45052,62604,61631,14,-16
1.52847308041914E+018,4231,1.52847308041868E+018,45112,62613,61616,15,-14
1.52847308047688E+018,4232,1.52847308047651E+018,45172,62622,61603,15,-15
1.52847308049889E+018,4233,1.52847308049857E+018,45192,62624,61599,15,-15
1.52847308055696E+018,4234,1.52847308055653E+018,45252,62630,61584,16,-14
1.52847308057887E+018,4235,1.52847308057862E+018,45272,62632,61580,16,-14
1.52847308063904E+018,4236,1.52847308063862E+018,45332,62643,61565,14,-14
1.52847308069676E+018,4237,1.52847308069637E+018,45392,62652,61553,15,-16
1.52847308071892E+018,4238,1.52847308071853E+018,45412,62655,61549,16,-16
1.52847308077797E+018,4239,1.52847308077757E+018,45472,62665,61535,15,-15
1.52847308079879E+018,4240,1.52847308079845E+018,45492,62670,61531,13,-15
1.52847308085796E+018,4241,1.52847308085748E+018,45552,62684,61516,13,-14
1.52847308091601E+018,4242,1.52847308091553E+018,45612,62699,61503,12,-15
1.52847308093868E+018,4243,1.52847308093835E+018,45632,62704,61496,12,-14
1.52847308099771E+018,4244,1.52847308099731E+018,45692,62717,61478,13,-13
1.52847308105768E+018,4245,1.52847308105732E+018,45752,62729,61462,14,-14
1.52847308111572E+018,4246,1.52847308111524E+018,45812,62739,61449,15,-16
1.52847308113794E+018,4247,1.52847308113747E+018,45832,62742,61445,15,-16
1.52847308119555E+018,4248,1.52847308119524E+018,45892,62753,61431,15,-15
1.52847308121759E+018,4249,1.52847308121726E+018,45912,62757,61426,14,-15
1.52847308127776E+018,4250,1.52847308127738E+018,45972,62770,61414,14,-16
1.5284730813355E+018,4251,1.52847308133512E+018,46032,62784,61399,14,-15
1.52847308135748E+018,4252,1.52847308135718E+018,46052,62789,61393,13,-15
1.52847308141755E+018,4253,1.52847308141718E+018,46112,62803,61377,14,-14
1.52847308147743E+018,4254,1.52847308147707E+018,46172,62817,61359,14,-14
1.52847308153652E+018,4255,1.52847308153614E+018,46232,62830,61344,14,-15
1.52847308155736E+018,4256,1.52847308155703E+018,46252,62834,61340,14,-16
1.52847308161639E+018,4257,1.52847308161609E+018,46312,62842,61326,17,-16
1.52847308167439E+018,4258,1.52847308167412E+018,46372,62854,61314,15,-17
1.52847308169645E+018,4259,1.5284730816961E+018,46392,62858,61308,14,-16
1.52847308175444E+018,4260,1.52847308175422E+018,46452,62871,61294,15,-16
1.52847308177627E+018,4261,1.52847308177597E+018,46472,62876,61288,14,-15
